Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,358.768494,361.003235,336.806213,343.052643,343.052643,3783477587
2021-01-01,342.979767,354.826416,334.560638,341.985657,341.985657,3490086847
2021-01-02,342.026672,365.390564,334.569183,354.599945,354.599945,4608719269
2021-01-03,354.650909,433.019073,354.650909,421.789856,421.789856,7273123207
2021-01-04,422.066254,462.204559,387.911804,407.936920,407.936920,8597472426
2021-01-05,407.964508,426.377014,393.809967,419.768127,419.768127,6465746424
2021-01-06,419.811340,456.970947,413.555328,454.484131,454.484131,6501368134
2021-01-07,454.471313,482.843964,432.840668,449.568726,449.568726,8115564128
2021-01-08,449.594910,453.630493,409.351257,441.058228,441.058228,8384177380
2021-01-09,440.986084,587.889526,420.353394,573.911377,573.911377,11980066195
2021-01-10,574.373352,629.801208,557.835938,603.596252,603.596252,18670984544
2021-01-11,603.727051,603.727051,407.030182,479.587341,479.587341,15256193289
2021-01-12,479.279297,510.604401,446.114014,450.279663,450.279663,8994820907
2021-01-13,450.387390,499.656891,438.045685,495.784760,495.784760,6997508555
2021-01-14,495.806183,537.531250,485.843994,526.329529,526.329529,7008145988
2021-01-15,526.475647,533.646545,457.602661,492.589844,492.589844,7258747674
2021-01-16,492.502258,513.431763,475.658112,490.981628,490.981628,6303545655
2021-01-17,490.968170,495.134491,463.638550,478.769806,478.769806,4635690838
2021-01-18,478.810852,513.731079,470.642120,510.415314,510.415314,4495156814
2021-01-19,510.401733,547.087036,503.822937,511.072266,511.072266,6415459721
2021-01-20,510.813751,517.611206,474.035309,499.324493,499.324493,6103579197
2021-01-21,499.282440,499.282440,407.828949,419.585144,419.585144,6318951662
2021-01-22,419.467041,450.027008,396.023315,441.526489,441.526489,5739209371
2021-01-23,441.274231,443.830109,420.107666,431.504730,431.504730,4073070097
2021-01-24,431.463318,448.732513,424.001526,440.103333,440.103333,3869930797
2021-01-25,440.045929,464.222809,432.680115,433.802490,433.802490,5168935996
2021-01-26,433.728973,437.962067,415.117950,428.044342,428.044342,5549601374
2021-01-27,428.025513,428.343842,371.102417,378.030151,378.030151,6484712952
2021-01-28,378.050507,397.863373,372.314575,391.798309,391.798309,5833018234
2021-01-29,414.437866,432.317017,392.324036,407.503296,407.503296,7763515865
2021-01-30,407.464630,417.192902,392.941315,414.942108,414.942108,5032998555
2021-01-31,415.046692,416.169861,391.738953,399.769928,399.769928,3699019612
2021-02-01,399.760071,442.406250,390.409668,414.020447,414.020447,5447738736
2021-02-02,414.032654,434.131714,411.078491,430.151428,430.151428,4782082014
2021-02-03,430.150452,448.136078,430.150452,444.846069,444.846069,4916862940
2021-02-04,444.897766,453.889191,414.031158,420.819641,420.819641,4820122971
2021-02-05,420.795074,447.775177,419.260345,446.458893,446.458893,4151940175
2021-02-06,446.500702,488.399445,445.191833,457.635590,457.635590,7376227692
2021-02-07,457.593933,462.782898,430.315277,445.169678,445.169678,5588458731
2021-02-08,445.078278,485.830750,437.063599,483.704132,483.704132,6169936503
2021-02-09,483.685089,516.547424,475.285522,513.532715,513.532715,7367014754
2021-02-10,513.446960,532.658630,471.522125,494.967773,494.967773,7763853779
2021-02-11,494.867004,538.841187,491.187317,529.737366,529.737366,6776342962
2021-02-12,529.597412,578.099670,514.346313,577.604309,577.604309,7486531853
2021-02-13,577.552979,664.974487,546.241150,663.679382,663.679382,10843656790
2021-02-14,663.949036,744.558350,652.936829,724.015686,724.015686,14673194771
2021-02-15,723.892456,767.510010,622.751587,712.430542,712.430542,15323317081
2021-02-16,712.140991,743.405884,672.881042,707.291504,707.291504,10739148111
2021-02-17,707.302734,726.066528,678.718689,716.698242,716.698242,8767701437
2021-02-18,716.664734,727.399414,692.519897,705.988464,705.988464,4289327501
2021-02-19,706.005920,740.160339,684.864014,720.821899,720.821899,5251329016
2021-02-20,720.705933,748.771667,637.599976,682.182434,682.182434,6495825727
2021-02-21,681.869995,735.333435,668.637390,707.592407,707.592407,5369155548
2021-02-22,707.528137,708.534424,545.149597,630.349854,630.349854,7444078951
2021-02-23,630.236389,630.451660,417.316376,513.187378,513.187378,8300802305
2021-02-24,513.560120,555.815857,498.777313,527.041382,527.041382,5749984570
2021-02-25,527.034119,555.287292,496.912659,496.912659,496.912659,4752439090
2021-02-26,497.307465,506.299164,460.484344,484.512238,484.512238,5217285976
2021-02-27,484.582489,501.274506,475.107727,483.745331,483.745331,3648759169
2021-02-28,483.719208,485.220825,436.742950,459.914490,459.914490,4580690977
2021-03-01,459.955872,506.007416,458.764191,500.951385,500.951385,3643964253
2021-03-02,500.843262,548.091187,494.748718,517.014160,517.014160,4725184970
2021-03-03,517.037048,554.684875,512.715942,523.578674,523.578674,3715621944
2021-03-04,523.490234,537.863342,495.017639,506.873260,506.873260,3715844937
2021-03-05,506.815765,506.815765,474.870483,498.989807,498.989807,3088964788
2021-03-06,498.913574,505.064545,484.019623,501.212708,501.212708,2326475343
2021-03-07,501.228821,517.914001,500.797668,516.173523,516.173523,2256359240
2021-03-08,516.181824,528.996887,502.262756,528.996887,528.996887,2792447504
2021-03-09,529.013489,546.526184,524.487976,545.026001,545.026001,2777424542
2021-03-10,545.029968,566.941589,519.540100,546.839600,546.839600,3942104355
2021-03-11,546.696777,562.515198,532.015564,549.783203,549.783203,4102967092
2021-03-12,549.815857,562.454102,515.493164,539.216492,539.216492,4017236783
2021-03-13,539.244446,607.072388,522.942444,596.234802,596.234802,4596011006
2021-03-14,596.080139,601.430969,557.757080,557.757080,557.757080,3841351549
2021-03-15,557.575439,567.666687,519.753357,523.934753,523.934753,3867342609
2021-03-16,523.894775,537.975037,505.473633,528.164001,528.164001,3487143846
2021-03-17,528.192017,540.845520,513.753601,540.845520,540.845520,2658649338
2021-03-18,540.874268,546.605225,525.386597,529.757385,529.757385,2482168468
2021-03-19,529.705139,550.226868,519.774902,535.141235,535.141235,2257159270
2021-03-20,535.081970,553.534607,532.940613,539.137573,539.137573,2007491933
2021-03-21,539.122009,546.208923,518.130493,526.561096,526.561096,1943933987
2021-03-22,526.603027,540.370178,512.019531,513.339233,513.339233,2541092748
2021-03-23,513.407776,536.699646,511.603363,516.253174,516.253174,2812731005
2021-03-24,516.173401,532.384155,461.579224,480.123322,480.123322,2544422048
2021-03-25,480.024231,485.107880,460.623505,478.292206,478.292206,2428634157
2021-03-26,478.210693,510.247925,475.369659,509.015289,509.015289,2244829965
2021-03-27,509.017670,512.130371,490.591370,503.658783,503.658783,1806636009
2021-03-28,503.659180,508.330322,494.220032,501.003601,501.003601,1929011914
2021-03-29,500.934296,525.892883,496.183014,520.635803,520.635803,2112034391
2021-03-30,520.620361,537.111328,514.731201,527.698242,527.698242,2059097801
2021-03-31,527.765747,546.300781,509.532715,543.237854,543.237854,3098623015
2021-04-01,543.257202,563.753174,533.946899,561.658264,561.658264,3271470706
2021-04-02,561.590210,602.216553,551.832886,585.707458,585.707458,3469842740
2021-04-03,585.656128,598.507385,536.676086,536.678833,536.678833,3188458792
2021-04-04,536.573792,568.290955,532.048340,566.513062,566.513062,2212661584
2021-04-05,566.640259,648.560974,562.162231,648.560974,648.560974,4920959551
2021-04-06,649.078857,677.270264,626.131592,667.748596,667.748596,5604369783
2021-04-07,667.356750,697.188416,601.890686,618.597534,618.597534,6575528211
2021-04-08,619.054016,647.647156,613.772339,647.564087,647.564087,3400288881
2021-04-09,647.592468,651.720032,630.773010,635.706726,635.706726,2599328081
2021-04-10,635.457703,685.509399,630.326965,673.957581,673.957581,3288833580
2021-04-11,676.878418,718.592712,675.523438,696.608459,696.608459,3830293616
2021-04-12,694.905334,698.584839,657.990051,674.786255,674.786255,2934933652
2021-04-13,674.618103,752.530762,670.956665,746.865356,746.865356,4536646606
2021-04-14,746.972778,846.238586,746.972778,818.703430,818.703430,7265770869
2021-04-15,816.701660,878.176575,801.155701,868.155518,868.155518,5161090414
2021-04-16,866.651306,1170.734741,827.977722,1110.654297,1110.654297,13562048894
2021-04-17,1107.841919,1208.586182,1005.735657,1006.324219,1006.324219,11342338922
2021-04-18,1003.963684,1024.783447,833.982727,965.682617,965.682617,11408448671
2021-04-19,971.877686,1038.072021,877.401306,894.128723,894.128723,8210144054
2021-04-20,891.274719,967.587708,833.978943,940.986938,940.986938,8030877946
2021-04-21,942.348938,996.223694,902.418640,913.905762,913.905762,6416416471
2021-04-22,910.754211,969.877869,845.330688,854.077942,854.077942,6610919178
2021-04-23,854.874329,872.471252,697.462830,838.847229,838.847229,7204033430
2021-04-24,840.376709,840.376709,752.100891,769.175842,769.175842,3509395352
2021-04-25,770.979980,804.558960,720.986206,757.708740,757.708740,3257040348
2021-04-26,759.281006,850.169556,753.538086,849.470093,849.470093,3760438246
2021-04-27,849.847778,891.011963,833.593994,887.862549,887.862549,3620498787
2021-04-28,889.720703,928.216431,853.897644,909.845825,909.845825,3864350281
2021-04-29,910.484070,913.148254,861.106689,880.665344,880.665344,2631715599
2021-04-30,880.779602,999.565369,870.935303,993.425659,993.425659,3816064836
2021-05-01,995.359436,1030.106934,977.569763,1005.080078,1005.080078,3302890217
2021-05-02,1004.172729,1009.042053,955.543274,974.655457,974.655457,2712905992
2021-05-03,974.300842,1046.244873,973.113403,1017.299988,1017.299988,3514913500
2021-05-04,1016.984314,1053.066895,935.927673,955.182434,955.182434,5581505479
2021-05-05,951.869385,1474.288086,942.024780,1454.935059,1454.935059,14081332554
2021-05-06,1454.490356,1597.654907,1275.957275,1505.765747,1505.765747,14871286058
2021-05-07,1509.110962,1509.110962,1279.020752,1343.247437,1343.247437,9450311296
2021-05-08,1342.436768,1444.728394,1325.171021,1402.368042,1402.368042,7091316071
2021-05-09,1398.551636,1428.528809,1289.467896,1428.528809,1428.528809,5982135477
2021-05-10,1427.767944,1565.984375,1239.093506,1321.401123,1321.401123,9778335896
2021-05-11,1321.576050,1547.425049,1305.301392,1542.425049,1542.425049,8507115276
2021-05-12,1549.232056,1635.149536,1209.806885,1209.806885,1209.806885,8940812629
2021-05-13,1237.958008,1342.406006,1138.836182,1251.692139,1251.692139,9987052496
2021-05-14,1255.058350,1358.966064,1227.956299,1298.664795,1298.664795,5514988209
2021-05-15,1298.560425,1331.105957,1166.716675,1170.348389,1170.348389,5304828008
2021-05-16,1171.168213,1279.673096,1101.821289,1168.729004,1168.729004,5122033903
2021-05-17,1166.761108,1169.203735,992.311584,1068.656860,1068.656860,6580396012
2021-05-18,1068.748901,1167.226685,1057.422119,1091.550171,1091.550171,4635705785
2021-05-19,1093.357300,1110.525635,507.729828,706.795837,706.795837,10094456486
2021-05-20,698.481689,862.993408,622.545532,821.600525,821.600525,8035772953
2021-05-21,819.837158,852.109741,608.199402,687.957153,687.957153,7998797485
2021-05-22,689.670776,720.321960,604.669189,631.782227,631.782227,5302068385
2021-05-23,631.414612,660.430115,469.727051,556.139771,556.139771,6340421631
2021-05-24,554.344055,758.537170,540.705688,748.421692,748.421692,5693828648
2021-05-25,752.503418,788.469055,673.547119,719.947815,719.947815,5635417781
2021-05-26,720.520813,787.776794,709.170715,765.048828,765.048828,3804200045
2021-05-27,764.836365,806.706421,702.633057,745.955078,745.955078,3539930955
2021-05-28,749.491760,761.526550,655.043518,689.947876,689.947876,4381620234
2021-05-29,689.553406,721.309998,619.981201,651.579956,651.579956,3431855859
2021-05-30,651.909851,687.341919,619.018005,663.512024,663.512024,2530933937
2021-05-31,662.733826,710.571045,637.130615,703.882568,703.882568,2736460092
2021-06-01,703.401855,720.849243,670.506531,691.403870,691.403870,2680399959
