Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,82.879997,82.900002,82.870003,82.900002,82.089279,1758200
2021-01-04,82.900002,82.900002,82.839996,82.889999,82.079369,4393900
2021-01-05,82.889999,82.900002,82.839996,82.849998,82.039749,2035500
2021-01-06,82.790001,82.809998,82.750000,82.769997,81.960526,1832100
2021-01-07,82.750000,82.769997,82.739998,82.760002,81.950645,2021600
2021-01-08,82.750000,82.760002,82.690002,82.720001,81.911034,2803400
2021-01-11,82.730003,82.730003,82.680000,82.720001,81.911034,2317700
2021-01-12,82.690002,82.739998,82.620003,82.730003,81.920937,3603500
2021-01-13,82.730003,82.779999,82.709999,82.779999,81.970451,5444000
2021-01-14,82.779999,82.790001,82.739998,82.769997,81.960526,3590500
2021-01-15,82.779999,82.790001,82.739998,82.760002,81.950645,1586000
2021-01-19,82.750000,82.790001,82.730003,82.790001,81.980339,2647300
2021-01-20,82.790001,82.800003,82.769997,82.800003,81.990250,1598000
2021-01-21,82.790001,82.830002,82.760002,82.830002,82.019958,5448200
2021-01-22,82.820000,82.839996,82.790001,82.790001,81.980339,2242700
2021-01-25,82.830002,82.849998,82.800003,82.849998,82.039749,2160500
2021-01-26,82.800003,82.849998,82.800003,82.830002,82.019958,3826200
2021-01-27,82.839996,82.879997,82.800003,82.849998,82.039749,2082900
2021-01-28,82.830002,82.830002,82.800003,82.809998,82.000153,1743200
2021-01-29,82.800003,82.860001,82.790001,82.849998,82.039749,2561200
2021-02-01,82.790001,82.790001,82.739998,82.760002,82.045715,1872000
2021-02-02,82.750000,82.760002,82.720001,82.750000,82.035797,2013500
2021-02-03,82.730003,82.750000,82.699997,82.720001,82.006050,1611800
2021-02-04,82.699997,82.739998,82.680000,82.730003,82.015976,1859200
2021-02-05,82.730003,82.760002,82.720001,82.739998,82.025887,1683300
2021-02-08,82.739998,82.750000,82.730003,82.739998,82.025887,2208200
2021-02-09,82.739998,82.750000,82.720001,82.750000,82.035797,1986600
2021-02-10,82.760002,82.769997,82.739998,82.769997,82.055611,1573100
2021-02-11,82.779999,82.790001,82.760002,82.779999,82.065536,2810500
2021-02-12,82.750000,82.760002,82.730003,82.750000,82.035797,1565400
2021-02-16,82.690002,82.699997,82.639999,82.680000,81.966400,2417200
2021-02-17,82.660004,82.699997,82.650002,82.699997,81.986229,1742000
2021-02-18,82.680000,82.730003,82.669998,82.709999,81.996132,4624600
2021-02-19,82.699997,82.699997,82.620003,82.660004,81.946579,6578900
2021-02-22,82.650002,82.650002,82.599998,82.629997,81.916824,2031700
2021-02-23,82.620003,82.650002,82.599998,82.650002,81.936661,2317000
2021-02-24,82.599998,82.629997,82.559998,82.629997,81.916824,1662500
2021-02-25,82.480003,82.480003,82.209999,82.309998,81.599594,2988400
2021-02-26,82.309998,82.430000,82.279999,82.430000,81.718559,3004300
2021-03-01,82.349998,82.410004,82.349998,82.410004,81.782082,3192600
2021-03-02,82.410004,82.449997,82.389999,82.449997,81.821777,1724000
2021-03-03,82.360001,82.379997,82.309998,82.360001,81.732460,2235900
2021-03-04,82.349998,82.379997,82.260002,82.269997,81.643127,2897300
2021-03-05,82.199997,82.260002,82.180000,82.250000,81.623283,2662000
2021-03-08,82.180000,82.199997,82.080002,82.080002,81.454582,2677100
2021-03-09,82.129997,82.169998,82.099998,82.139999,81.514130,2373000
2021-03-10,82.169998,82.239998,82.150002,82.199997,81.573677,1693400
2021-03-11,82.239998,82.279999,82.209999,82.260002,81.633224,2248600
2021-03-12,82.190002,82.300003,82.139999,82.180000,81.553825,2460100
2021-03-15,82.160004,82.199997,82.150002,82.199997,81.573677,1911900
2021-03-16,82.199997,82.250000,82.190002,82.230003,81.603447,3868400
2021-03-17,82.199997,82.360001,82.169998,82.290001,81.662979,2978400
2021-03-18,82.180000,82.260002,82.120003,82.199997,81.573677,3212400
2021-03-19,82.150002,82.230003,82.129997,82.180000,81.553825,2247500
2021-03-22,82.220001,82.220001,82.180000,82.199997,81.573677,1732800
2021-03-23,82.239998,82.269997,82.220001,82.269997,81.643127,1360900
